Name,Team,Position,Minutes Played,Goals,Assists,Shots,Shots On Target,Fouls Won,MAX
Mamadou Diarra,Fla. Atlantic,Unknown,1112,8,8,34,16,23,95
Michael Adedokun,Ohio St.,Midfielder,1855,11,11,83,29,33,95
Anthony Samways,Ohio St.,Midfielder,1967,0,4,12,1,34,94
Elie Kisoka,Kansas City,Forward,1684,11,9,67,24,29,94
Luciano Pechota,Ohio St.,Midfielder,1705,5,7,37,12,30,93
Sam Bassett,Denver,Midfielder,1974,9,13,53,28,33,93
Ronan Wynne,Denver,Defender,1946,2,6,9,4,47,93
Zach Barrett,Vermont,Defender,1965,1,5,11,5,15,93
Bailey Sparks,SMU,Forward,1804,9,10,49,23,29,93
Trevor Wright,Denver,Defender,2057,2,2,12,5,14,93
Aidan Kelly,Massachusetts,Defender,1930,4,2,22,13,22,92
Martin Bakken,Dayton,Midfielder,1670,9,10,44,16,24,92
Prince Amponsah,Wake Forest,Defender,2071,0,3,10,4,18,92
Caden Buckley,Washington,Defender,1917,0,3,8,0,22,92
Nico Baltazar,Cal Poly,Defender,1730,2,0,8,7,8,92
Ethan Warne,San Diego,Defender,1800,1,3,6,3,23,92
Cole Sotack,Rider,Defender,1776,1,1,15,5,22,92
Egor Akulov,Washington,Defender,1921,2,0,6,3,14,92
Ben Smith,Denver,Midfielder,1875,2,3,19,6,28,92
Deylen Vellios,Ohio St.,Defender,1797,1,6,6,3,29,92
Lasse Laursen,Charlotte,Defender,1708,0,2,4,2,16,92
Jacob Woznicki,Hofstra,Forward,1768,9,5,43,21,27,92
Hjalti Sigurdsson,Dayton,Midfielder,1771,8,7,34,17,16,92
Martin Chladek,Rider,Defender,1812,0,1,3,1,12,92
Remi Okunlola,Clemson,Forward,1637,2,4,15,8,27,92
Alex Meinhard,Clemson,Forward,1632,11,1,47,29,38,92
Parker Owens,Cal Poly,Defender,1670,1,3,12,6,16,92
Braden Seel,Dayton,Midfielder,1793,1,2,18,5,24,92
Kerman Sukia,Bryant,Defender,1730,2,1,10,4,31,92
Joaquin Torres,Cal Poly,Defender,1708,1,1,10,3,18,92
Siggi Magnusson,Ohio St.,Defender,1911,4,1,15,10,16,92
Maximus Jennings,Georgetown,Defender,1858,1,0,14,6,17,92
Alex Bamford,Marshall,Defender,1738,0,2,3,1,17,91
Nick Dang,Virginia,Defender,1777,6,0,16,9,34,91
Bryson Gosch,Kansas City,Midfielder,1741,1,1,2,1,11,91
Tate Lampman,Georgetown,Defender,1767,1,0,2,2,7,91
Joran Gerbet,Clemson,Midfielder,1607,7,8,33,12,33,91
Joseph Melto Quiah,Dayton,Midfielder,1626,8,6,87,28,15,91
Cooper Flax,Wake Forest,Midfielder,2087,9,1,63,26,34,91
Harrison Bertos,Washington,Defender,1795,1,1,11,8,22,91
Max Schrader,Rider,Defender,1689,0,1,4,0,15,91
