Name,Team,Position,Goals,Assists,Shots,Shots On Target,Fouls Won,Minutes Played,MAX,MLS_Drafted
Mamadou Diarra,Fla. Atlantic,Unknown,8,8,34,16,23,1112,95.0,False
Emil Jaaskelainen,Akron,Forward,23,7,92,45,52,1702,95.0,True
Alex Harris,Cornell,Forward,19,5,86,48,20,1464,94.0,True
Colin Veltri,Elon,Forward,6,3,26,12,4,495,92.0,False
Jesus Barea,Missouri St.,Forward,15,4,81,50,34,1382,92.0,True
Damorney Hutchinson,Presbyterian,Forward,12,3,61,33,15,1083,91.0,False
Zach Barrett,Vermont,Defender,1,5,11,5,15,1965,91.0,False
Ronan Wynne,Denver,Defender,2,6,9,4,47,1946,91.0,True
Michael Huss,Liberty,Forward,11,2,35,23,15,824,91.0,False
Owen Smith,Western Mich.,Midfielder,6,17,24,14,42,1395,90.0,False
Dominick Bachstein,Drexel,Forward,12,6,43,24,21,1161,90.0,False
Michael Adedokun,Ohio St.,Midfielder,11,11,83,29,33,1855,90.0,True
James Jennings,Missouri St.,Forward,7,4,20,11,10,612,90.0,False
Matthew Roou,Notre Dame,Forward,14,4,52,28,16,1281,90.0,False
Maximilian Kissel,Vermont,Forward,11,2,27,18,11,823,90.0,False
Shane Fonseca,Stonehill,Forward,3,2,14,11,1,302,90.0,False
Sergio Ors Navarro,West Virginia,Forward,15,4,71,29,13,1497,90.0,False
Trevor Wright,Denver,Defender,2,2,12,5,14,2057,90.0,False
Pierce Infuso,Hofstra,Defender,0,5,7,5,15,1889,89.0,False
Jansen Miller,Indiana,Defender,1,4,14,3,64,1799,89.0,True
Cole Sotack,Rider,Defender,1,1,15,5,22,1776,89.0,False
Prince Amponsah,Wake Forest,Defender,0,3,10,4,18,2071,89.0,False
Siggi Magnusson,Ohio St.,Defender,4,1,15,10,16,1911,89.0,False
Caden Buckley,Washington,Defender,0,3,8,0,22,1917,89.0,False
Aidan Kelly,Massachusetts,Defender,4,2,22,13,22,1930,89.0,False
Cole Pond,UC Davis,Defender,0,4,8,4,6,1946,89.0,False
Sergi Solans,Oregon St.,Forward,14,3,41,25,20,1191,89.0,True
Elie Kisoka,Kansas City,Forward,11,9,67,24,29,1684,89.0,False
Deylen Vellios,Ohio St.,Defender,1,6,6,3,29,1797,89.0,False
Lasse Laursen,Charlotte,Defender,0,2,4,2,16,1708,89.0,False
Parker Owens,Cal Poly,Defender,1,3,12,6,16,1670,89.0,False
Sam Bassett,Denver,Midfielder,9,13,53,28,33,1974,89.0,False
Nico Baltazar,Cal Poly,Defender,2,0,8,7,8,1730,89.0,False
Martin Chladek,Rider,Defender,0,1,3,1,12,1812,89.0,False
Ethan Warne,San Diego,Defender,1,3,6,3,23,1800,89.0,False
Noah Adnan,Stanford,Defender,4,1,19,7,13,1832,89.0,False
Ulfur Bjornsson,Duke,Forward,13,3,50,32,13,1336,89.0,False
Maximus Jennings,Georgetown,Defender,1,0,14,6,17,1858,89.0,False
Matt Fordham,Massachusetts,Defender,1,2,6,2,22,1919,89.0,False
Egor Akulov,Washington,Defender,2,0,6,3,14,1921,89.0,False
Kerman Sukia,Bryant,Defender,2,1,10,4,31,1730,89.0,False
Joaquin Torres,Cal Poly,Defender,1,1,10,3,18,1708,89.0,False
Quinton Elliot,Indiana,Defender,3,3,11,8,22,1848,88.0,False
Yves Tcheuyap,NC State,Defender,0,4,0,0,16,1716,88.0,False
Cole Dewhurst,Providence,Defender,1,0,4,2,16,1906,88.0,False
Brady Geho,St. John's (NY),Forward,4,0,9,7,10,300,88.0,False
Dylan Akau,Denver,Defender,1,4,12,5,13,1660,88.0,False
Jack Muoio,Cal Poly,Defender,0,3,2,0,10,1656,88.0,False
Geni Kanyane,Dayton,Defender,2,4,30,11,31,1739,88.0,True
Leo Burney,Penn,Defender,4,2,5,4,11,1710,88.0,False
Palmer Bank,Stanford,Defender,1,0,7,2,20,1764,88.0,False
Sekou Agard,Mercer,Defender,5,0,14,6,6,1618,88.0,False
Lorenzo Amaral,Brown,Forward,8,6,39,20,34,1006,88.0,False
Carson Hammond,UC Davis,Defender,1,2,3,1,36,1747,88.0,False
Mike Bleeker,Vermont,Defender,0,2,9,4,8,1644,88.0,False
Max Broughton,West Virginia,Defender,0,1,12,4,19,1785,88.0,False
Christian Shannon,Western Mich.,Defender,3,3,13,7,22,1738,88.0,False
Max Floriani,Saint Louis,Defender,3,1,18,10,18,1671,88.0,True
Paul Wiese,Virginia,Defender,0,10,7,1,10,1603,88.0,False
Alec Hughes,Massachusetts,Forward,16,1,61,32,19,1561,88.0,True
Martin Bakken,Dayton,Midfielder,9,10,44,16,24,1670,88.0,False
Trace Terry,Bowling Green,Forward,12,5,61,32,26,1497,88.0,True
Harrison Myring,South Carolina,Forward,11,2,34,18,13,979,88.0,False
Luca Nikolai,James Madison,Defender,4,2,23,11,21,1567,88.0,False
Chris Meyers,Washington,Defender,1,7,20,6,25,1600,88.0,False
Stas Korzeniowski,Penn,Forward,12,2,67,36,47,1310,88.0,False
Noeh Hernandez,DePaul,Forward,8,9,43,14,27,1227,88.0,False
Ethan Stevenson,Longwood,Forward,13,3,33,20,20,1188,88.0,False
