home_team,home_team_score,away_team,away_team_score,home_team_conference,away_team_conference
VMI,4,Emory & Henry,2,SoCon,Not D1
George Washington,2,Old Dominion,4,Atlantic 10,Sun Belt
Delaware,3,Howard,0,CAA,NEC
Boston U.,0,New Hampshire,0,Patriot,America East
Villanova,2,Saint Peter's,2,Big East,MAAC
LIU,2,Stony Brook,1,NEC,CAA
Robert Morris,0,Bucknell,2,Horizon,Patriot
Le Moyne,3,Canisius,2,NEC,MAAC
St. Thomas (MN),1,NIU,0,Summit League,MVC
Louisville,2,Jacksonville,0,ACC,ASUN
Ga. Southern,0,Wofford,0,Sun Belt,SoCon
Siena,0,Massachusetts,0,MAAC,Atlantic 10
Boston College,2,Iona,2,ACC,MAAC
Western Mich.,3,Vermont,1,MVC,America East
St. Bonaventure,0,Saint Francis,3,Atlantic 10,NEC
Milwaukee,0,Lindenwood,0,Horizon,OVC
FDU,3,Manhattan,2,NEC,MAAC
NC State,3,High Point,2,ACC,Big South
UMass Lowell,1,Lafayette,1,America East,Patriot
Eastern Ill.,3,UChicago,0,OVC,Not D1
Temple,1,Army West Point,1,The American,Patriot
Niagara,2,UAlbany,3,MAAC,America East
Sacred Heart,4,Holy Cross,2,MAAC,Patriot
Marquette,2,Drexel,0,Big East,CAA
Xavier,0,Northern Ky.,0,Big East,Horizon
UNC Greensboro,3,USC Upstate,0,SoCon,Big South
Oakland,1,Omaha,2,Horizon,Summit League
Rutgers,3,Northeastern,1,Big Ten,CAA
Clemson,3,Penn St.,0,ACC,Big Ten
Hofstra,0,Fordham,0,CAA,Atlantic 10
Coastal Carolina,2,Col. of Charleston,4,Sun Belt,CAA
Wake Forest,1,VCU,2,ACC,Atlantic 10
Elon,1,FGCU,0,CAA,ASUN
South Fla.,1,Seattle U,4,The American,WAC
FIU,0,Seton Hall,1,The American,Big East
UAB,0,North Carolina,1,AAC,ACC
Creighton,0,Fla. Atlantic,0,Big East,The American
Bellarmine,1,Evansville,2,ASUN,MVC
Michigan,1,Loyola Chicago,0,Big Ten,Atlantic 10
Lehigh,0,La Salle,0,Patriot,Atlantic 10
West Virginia,4,Purdue Fort Wayne,2,Sun Belt,Horizon
Dayton,5,Detroit Mercy,1,Atlantic 10,Horizon
Colgate,0,Syracuse,1,Patriot,ACC
South Carolina,7,Winthrop,1,Sun Belt,Big South
Virginia Tech,4,North Florida,0,ACC,ASUN
Virginia,3,Rider,0,ACC,MAAC
Providence,2,Quinnipiac,0,Big East,MAAC
Mount St. Mary's,0,Binghamton,1,MAAC,America East
Duquesne,3,Seton Hill,1,Atlantic 10,Not D1
Butler,2,Southern Ind.,1,Big East,OVC
Navy,0,George Mason,2,Patriot,Atlantic 10
American,0,California Baptist,0,Patriot,WAC
UMBC,1,Maryland,1,America East,Big Ten
Georgia St.,0,Belmont,0,Sun Belt,MVC
Rhode Island,2,St. John's (NY),0,Atlantic 10,Big East
Marshall,3,Cal St. Fullerton,0,Sun Belt,Big West
Kentucky,3,Oral Roberts,2,Sun Belt,Summit League
UConn,6,Stonehill,0,Big East,NEC
California,1,Denver,2,ACC,Summit League
NJIT,1,Loyola Maryland,1,America East,Patriot
Liberty,5,Mount Olive,0,OVC,Not D1
Saint Joseph's,1,Merrimack,2,Atlantic 10,MAAC
Bradley,1,Chicago St.,0,MVC,NEC
Wisconsin,4,Marist,0,Big Ten,MAAC
Houston Christian,2,Gardner-Webb,3,OVC,Big South
Sacramento St.,1,Utah Valley,3,Big West,WAC
Memphis,1,Lipscomb,2,The American,ASUN
Ohio St.,1,Cleveland St.,1,Big Ten,Horizon
Notre Dame,1,Akron,1,ACC,Big East
Saint Mary's (CA),0,Kansas City,1,WCC,Summit League
Northwestern,2,Green Bay,0,Big Ten,Horizon
Pittsburgh,2,Georgetown,0,ACC,Big East
Furman,1,UNCW,1,SoCon,CAA
UCF,3,Mercer,1,Sun Belt,SoCon
UIW,0,IU Indy,2,OVC,Horizon
Central Ark.,3,Evangel,0,ASUN,Not D1
Drake,3,Grand View,0,MVC,Not D1
ETSU,3,Longwood,1,SoCon,Big South
SIUE,1,Michigan St.,1,OVC,Big Ten
UIC,3,DePaul,4,MVC,Big East
SMU,1,Air Force,0,ACC,WAC
UCLA,2,LMU (CA),0,Big Ten,WCC
Grand Canyon,3,Western Ill.,0,WAC,OVC
CSUN,0,James Madison,0,Big West,Sun Belt
UC San Diego,0,Santa Clara,1,Big West,WCC
San Diego,2,Duke,2,WCC,ACC
UC Santa Barbara,3,Missouri St.,1,Big West,MVC
Pacific,1,UC Davis,0,WCC,Big West
Gonzaga,4,Northwest (WA),1,WCC,Not D1
Stanford,2,San Jose St.,1,ACC,WAC
Oregon St.,2,UC Irvine,1,WCC,Big West
CSU Bakersfield,1,Utah Tech,0,Big West,WAC
San Francisco,0,Cal Poly,0,WCC,Big West
